ObID,HRI,HRL,LRI,LRL,Internals,Leaves,Height,Vertices,Size,Duration,RatioIL,MeanBar,StdBar,Beta1,Beta2,
613,2,4,2,4,4,8,4,12,11,191.0,0.5,3.5,0.75,1.1666666666666665,2.5,
399,4,1,0,7,4,8,3,12,11,229.0,0.5,1.75,0.4375,0.8333333333333333,3.875,
288,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
249,3,0,0,4,3,4,3,7,6,213.0,0.75,2.25,0.6875,0.8333333333333333,1.75,
943,2,0,0,2,2,2,2,4,3,87.0,1.0,1.5,0.25,0.5,1.0,
982,1,0,1,1,2,1,2,3,2,36.0,2.0,2.0,0.0,1.0,0.5,
193,0,1,1,1,1,2,1,3,2,45.0,0.5,1.0,0.0,0.0,1.0,
770,4,1,0,3,4,4,4,8,7,147.0,1.0,2.75,1.1875,0.9166666666666665,1.5,
1038,5,1,0,2,5,3,5,8,7,229.0,1.6666666666666667,2.6666666666666665,2.8888888888888893,1.0333333333333332,1.15625,
1091,4,2,1,3,5,5,4,10,9,200.0,1.0,3.6,0.24,1.4999999999999998,1.5,
768,2,3,1,1,3,4,2,7,6,84.0,0.75,1.75,0.1875,0.6666666666666666,2.0,
556,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
244,3,0,1,4,4,4,4,8,7,58.0,1.0,2.75,0.6875,1.1666666666666665,1.625,
561,1,1,0,1,1,2,1,3,2,6.0,0.5,1.0,0.0,0.0,1.0,
1191,2,0,0,2,2,2,2,4,3,29.0,1.0,1.5,0.25,0.5,1.0,
85,2,0,1,3,3,3,3,6,5,86.0,1.0,3.0,0.0,1.5,1.125,
454,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
1172,3,2,2,4,5,6,4,11,10,360.0,0.8333333333333334,3.6666666666666665,0.5555555555555555,1.4999999999999998,1.75,
60,0,2,1,0,1,2,1,3,2,9.0,0.5,1.0,0.0,0.0,1.0,
1249,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
819,0,1,1,1,1,2,1,3,2,13.0,0.5,1.0,0.0,0.0,1.0,
207,6,2,3,15,9,17,4,26,25,107.0,0.5294117647058824,2.4705882352941178,1.3079584775086506,1.5833333333333335,7.0,
395,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
638,0,0,1,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
449,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
992,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
170,2,2,1,1,3,3,3,6,5,46.0,1.0,2.3333333333333335,0.22222222222222224,1.0,1.375,
195,3,2,1,5,4,7,3,11,10,232.0,0.5714285714285714,2.2857142857142856,0.20408163265306123,1.1666666666666665,3.25,
986,4,3,0,2,4,5,2,9,8,135.0,0.8,1.8,0.16000000000000006,1.0,2.5,
95,1,1,1,0,2,1,2,3,2,24.0,2.0,2.0,0.0,1.0,0.5,
894,3,0,1,1,4,1,4,5,4,110.0,4.0,4.0,0.0,1.8333333333333333,0.25,
983,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
1162,2,0,0,3,2,3,2,5,4,74.0,0.6666666666666666,1.3333333333333333,0.2222222222222222,0.5,1.5,
822,4,3,0,6,4,9,3,13,12,287.0,0.4444444444444444,2.111111111111111,0.54320987654321,0.8333333333333333,4.125,
1171,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
779,5,5,1,2,6,7,4,13,12,112.0,0.8571428571428571,2.7142857142857144,0.7755102040816327,0.9833333333333334,2.75,
444,0,0,1,2,1,2,1,3,2,18.0,0.5,1.0,0.0,0.0,1.0,
1185,2,0,0,5,2,5,2,7,6,116.0,0.4,1.2,0.16,0.5,2.5,
1177,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
693,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
566,5,1,1,3,6,4,5,10,9,223.0,1.5,2.75,3.1875,1.2833333333333332,1.40625,
208,0,1,1,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
