ObID,HRI,HRL,LRI,LRL,Internals,Leaves,Height,Vertices,Size,Duration,RatioIL,MeanBar,StdBar,Beta1,Beta2,
796,2,1,0,0,2,1,2,3,2,67.0,2.0,2.0,0.0,1.0,0.5,
88,2,3,1,0,3,3,3,6,5,47.0,1.0,2.0,0.6666666666666666,0.8333333333333333,1.375,
222,21,18,1,8,22,26,12,48,47,582.0,0.8461538461538461,6.115384615384615,13.025147928994082,1.865279165279165,5.36962890625,
1565,6,1,0,1,6,2,4,8,7,391.0,3.0,4.0,0.0,1.2333333333333332,0.5,
41,0,1,1,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
652,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
1556,1,0,0,2,1,2,1,3,2,122.0,0.5,1.0,0.0,0.0,1.0,
921,1,2,0,1,1,3,1,4,3,19.0,0.3333333333333333,1.0,0.0,0.0,1.5,
1326,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
800,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
1538,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
1330,3,3,0,0,3,3,3,6,5,74.0,1.0,1.6666666666666667,0.888888888888889,0.8333333333333333,1.375,
1655,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
100,8,10,1,3,9,13,6,22,21,423.0,0.6923076923076923,3.3076923076923075,2.21301775147929,1.469047619047619,4.28125,
1387,2,2,0,0,2,2,2,4,3,8.0,1.0,1.5,0.25,0.5,1.0,
190,0,1,1,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
953,3,1,0,1,3,2,3,5,4,80.0,1.5,2.5,0.25,1.0,0.875,
1267,2,1,0,0,2,1,2,3,2,20.0,2.0,2.0,0.0,1.0,0.5,
755,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
1466,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
341,0,2,1,0,1,2,1,3,2,0.0,0.5,1.0,0.0,0.0,1.0,
457,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
699,7,4,0,3,7,7,4,14,13,171.0,1.0,3.5714285714285716,0.24489795918367344,1.4333333333333333,2.125,
1028,1,2,0,0,1,2,1,3,2,115.0,0.5,1.0,0.0,0.0,1.0,
531,3,0,0,3,3,3,3,6,5,42.0,1.0,1.6666666666666667,0.888888888888889,0.8333333333333333,1.375,
1268,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
716,3,1,0,0,3,1,3,4,3,27.0,3.0,3.0,0.0,1.5,0.375,
1336,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
995,1,2,0,0,1,2,1,3,2,142.0,0.5,1.0,0.0,0.0,1.0,
827,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
