ObID,HRI,HRL,LRI,LRL,Internals,Leaves,Height,Vertices,Size,Duration,RatioIL,MeanBar,StdBar,Beta1,Beta2,
580,6,6,0,6,6,12,4,18,17,370.0,0.5,2.25,0.8541666666666666,1.2333333333333332,5.25,
486,1,2,0,0,1,2,1,3,2,1.0,0.5,1.0,0.0,0.0,1.0,
233,4,1,0,4,4,5,4,9,8,272.0,0.8,2.8,0.5599999999999999,1.1666666666666665,2.0,
48,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
400,2,0,0,1,2,1,2,3,2,5.0,2.0,2.0,0.0,1.0,0.5,
472,3,2,0,0,3,2,3,5,4,131.0,1.5,2.5,0.25,1.0,0.875,
658,2,0,0,1,2,1,2,3,2,8.0,2.0,2.0,0.0,1.0,0.5,
480,4,5,0,1,4,6,3,10,9,210.0,0.6666666666666666,1.8333333333333333,0.47222222222222215,0.8333333333333333,2.875,
277,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
871,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
546,4,3,0,2,4,5,4,9,8,267.0,0.8,3.0,0.8,1.1666666666666665,1.875,
664,1,0,0,3,1,3,1,4,3,72.0,0.3333333333333333,1.0,0.0,0.0,1.5,
830,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
232,1,2,0,1,1,3,1,4,3,23.0,0.3333333333333333,1.0,0.0,0.0,1.5,
347,3,2,0,1,3,3,3,6,5,162.0,1.0,2.6666666666666665,0.22222222222222224,1.0,1.25,
799,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
52,4,4,1,1,5,5,3,10,9,177.0,1.0,2.0,0.4,1.0833333333333333,2.375,
904,1,1,0,1,1,2,1,3,2,49.0,0.5,1.0,0.0,0.0,1.0,
66,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
704,2,1,0,0,2,1,2,3,2,11.0,2.0,2.0,0.0,1.0,0.5,
33,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
22,2,2,0,0,2,2,2,4,3,145.0,1.0,1.5,0.25,0.5,1.0,
680,6,5,0,4,6,9,4,15,14,282.0,0.6666666666666666,1.7777777777777777,0.8395061728395062,1.1833333333333333,4.25,
369,7,3,0,1,7,4,4,11,10,185.0,1.75,3.0,1.0,1.0190476190476192,1.5,
785,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
265,2,2,0,0,2,2,2,4,3,32.0,1.0,1.5,0.25,0.5,1.0,
581,2,1,0,1,2,2,2,4,3,90.0,1.0,2.0,0.0,1.0,1.0,
428,1,2,0,0,1,2,1,3,2,50.0,0.5,1.0,0.0,0.0,1.0,
199,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
714,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
15,1,1,0,1,1,2,1,3,2,58.0,0.5,1.0,0.0,0.0,1.0,
61,5,4,0,0,5,4,5,9,8,230.0,1.25,3.75,1.1875,1.1666666666666665,1.15625,
643,1,2,0,0,1,2,1,3,2,53.0,0.5,1.0,0.0,0.0,1.0,
198,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
854,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
435,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
399,3,2,0,1,3,3,3,6,5,129.0,1.0,2.0,0.6666666666666666,0.8333333333333333,1.375,
91,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
124,9,6,1,7,10,13,5,23,22,298.0,0.7692307692307693,3.3076923076923075,1.1360946745562133,1.6023809523809522,4.3125,
418,4,1,0,1,4,2,4,6,5,88.0,2.0,3.0,1.0,1.1666666666666665,0.75,
638,2,1,0,1,2,2,2,4,3,50.0,1.0,1.5,0.25,0.5,1.0,
9,3,2,1,1,4,3,3,7,6,549.0,1.3333333333333333,2.6666666666666665,0.22222222222222224,0.8333333333333333,1.25,
153,1,1,0,1,1,2,1,3,2,109.0,0.5,1.0,0.0,0.0,1.0,
589,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
685,1,1,0,1,1,2,1,3,2,62.0,0.5,1.0,0.0,0.0,1.0,
915,5,4,0,2,5,6,3,11,10,181.0,0.8333333333333334,2.5,0.25,1.0833333333333333,2.625,
897,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
203,7,3,0,2,7,5,5,12,11,295.0,1.4,3.0,1.6,1.2333333333333334,1.90625,
597,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
415,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
627,2,4,0,2,2,6,2,8,7,181.0,0.3333333333333333,1.1666666666666667,0.13888888888888887,0.5,3.0,
877,6,3,0,5,6,8,4,14,13,241.0,0.75,1.875,0.859375,1.1833333333333333,3.75,
887,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
230,2,1,0,0,2,1,2,3,2,21.0,2.0,2.0,0.0,1.0,0.5,
109,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
697,1,1,0,2,1,3,1,4,3,36.0,0.3333333333333333,1.0,0.0,0.0,1.5,
798,1,2,0,0,1,2,1,3,2,19.0,0.5,1.0,0.0,0.0,1.0,
