ObID,HRI,HRL,LRI,LRL,Internals,Leaves,Height,Vertices,Size,Duration,RatioIL,MeanBar,StdBar,Beta1,Beta2,
38,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
867,2,1,0,0,2,1,2,3,2,24.0,2.0,2.0,0.0,1.0,0.5,
929,3,4,0,0,3,4,3,7,6,84.0,0.75,2.0,1.0,0.8333333333333333,1.75,
785,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
251,0,0,1,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
53,1,2,0,0,1,2,1,3,2,51.0,0.5,1.0,0.0,0.0,1.0,
403,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
110,1,1,0,1,1,2,1,3,2,39.0,0.5,1.0,0.0,0.0,1.0,
264,2,2,0,1,2,3,2,5,4,186.0,0.6666666666666666,1.3333333333333333,0.2222222222222222,0.5,1.5,
502,1,2,0,1,1,3,1,4,3,58.0,0.3333333333333333,1.0,0.0,0.0,1.5,
329,1,2,0,0,1,2,1,3,2,1.0,0.5,1.0,0.0,0.0,1.0,
742,2,2,0,0,2,2,2,4,3,78.0,1.0,1.5,0.25,0.5,1.0,
855,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
275,7,4,0,1,7,5,5,12,11,275.0,1.4,3.6,2.2399999999999998,1.069047619047619,1.4375,
17,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
417,2,3,0,0,2,3,2,5,4,157.0,0.6666666666666666,1.6666666666666667,0.2222222222222222,0.5,1.5,
124,8,3,0,2,8,5,4,13,12,227.0,1.6,3.0,0.8,1.35,1.875,
611,1,2,0,0,1,2,1,3,2,18.0,0.5,1.0,0.0,0.0,1.0,
885,2,1,0,0,2,1,2,3,2,39.0,2.0,2.0,0.0,1.0,0.5,
427,1,2,0,0,1,2,1,3,2,27.0,0.5,1.0,0.0,0.0,1.0,
420,6,4,0,0,6,4,6,10,9,102.0,1.5,4.0,3.5,1.0666666666666667,1.0,
509,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
