ObID,HRI,HRL,LRI,LRL,Internals,Leaves,Height,Vertices,Size,Duration,RatioIL,MeanBar,StdBar,Beta1,Beta2,
53,3,1,0,2,3,3,3,6,5,33.0,1.0,2.6666666666666665,0.22222222222222224,1.0,1.25,
324,3,1,1,5,4,6,2,10,9,327.0,0.6666666666666666,1.5,0.25,1.0,3.0,
318,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
171,0,0,1,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
572,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
626,2,1,0,6,2,7,2,9,8,116.0,0.2857142857142857,1.5714285714285714,0.24489795918367346,0.5,3.5,
413,10,7,1,6,11,13,5,24,23,356.0,0.8461538461538461,3.3076923076923075,1.289940828402367,2.0,4.3125,
28,2,1,0,1,2,2,2,4,3,9.0,1.0,1.5,0.25,0.5,1.0,
63,2,2,0,1,2,3,2,5,4,51.0,0.6666666666666666,2.0,0.0,1.0,1.5,
162,1,2,0,2,1,4,1,5,4,163.0,0.25,1.0,0.0,0.0,2.0,
455,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
349,2,2,0,2,2,4,2,6,5,16.0,0.5,1.5,0.25,0.5,2.0,
348,1,0,0,2,1,2,1,3,2,19.0,0.5,1.0,0.0,0.0,1.0,
602,0,0,1,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
676,3,0,0,4,3,4,3,7,6,105.0,0.75,2.25,0.1875,1.0,1.875,
420,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
105,3,2,0,5,3,7,3,10,9,279.0,0.42857142857142855,1.2857142857142858,0.489795918367347,0.8333333333333333,3.375,
106,3,3,1,5,4,8,3,12,11,244.0,0.5,2.125,0.109375,0.8333333333333333,3.875,
570,2,1,0,2,2,3,2,5,4,79.0,0.6666666666666666,1.6666666666666667,0.2222222222222222,0.5,1.5,
344,1,0,0,2,1,2,1,3,2,44.0,0.5,1.0,0.0,0.0,1.0,
474,2,4,0,2,2,6,2,8,7,340.0,0.3333333333333333,1.5,0.25,0.5,3.0,
80,10,8,3,10,13,18,7,31,30,441.0,0.7222222222222222,3.8333333333333335,2.25,2.1214285714285714,5.3359375,
487,2,0,0,4,2,4,2,6,5,89.0,0.5,2.0,0.0,1.0,2.0,
581,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
121,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
45,14,9,3,17,17,26,8,43,42,323.0,0.6538461538461539,3.269230769230769,3.504437869822486,1.8536435786435788,9.28125,
588,8,7,3,8,11,15,6,26,25,346.0,0.7333333333333333,3.8,2.4266666666666667,1.769047619047619,4.53125,
238,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
212,2,3,0,2,2,5,2,7,6,91.0,0.4,1.2,0.16000000000000006,0.5,2.5,
203,0,0,1,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
