ObID,HRI,HRL,LRI,LRL,Internals,Leaves,Height,Vertices,Size,Duration,RatioIL,MeanBar,StdBar,Beta1,Beta2,
345,8,6,0,9,8,15,7,23,22,592.0,0.5333333333333333,4.666666666666667,2.222222222222222,1.4333333333333333,3.2109375,
1112,1,0,1,1,2,1,2,3,2,22.0,2.0,2.0,0.0,1.0,0.5,
569,4,2,0,2,4,4,3,8,7,207.0,1.0,2.0,0.5,0.8333333333333333,1.875,
306,1,2,0,0,1,2,1,3,2,12.0,0.5,1.0,0.0,0.0,1.0,
688,0,0,1,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
1319,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
903,2,0,0,2,2,2,2,4,3,8.0,1.0,1.5,0.25,0.5,1.0,
259,2,1,0,2,2,3,2,5,4,70.0,0.6666666666666666,1.3333333333333333,0.2222222222222222,0.5,1.5,
832,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
121,0,0,1,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
235,0,0,1,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
716,2,0,0,1,2,1,2,3,2,7.0,2.0,2.0,0.0,1.0,0.5,
407,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
945,1,0,0,3,1,3,1,4,3,75.0,0.3333333333333333,1.0,0.0,0.0,1.5,
1373,9,3,1,7,10,10,7,20,19,204.0,1.0,3.5,4.45,1.4357142857142857,3.3984375,
562,1,1,0,2,1,3,1,4,3,9.0,0.3333333333333333,1.0,0.0,0.0,1.5,
884,2,3,0,4,2,7,2,9,8,68.0,0.2857142857142857,1.5714285714285714,0.24489795918367346,0.5,3.5,
762,3,2,0,1,3,3,2,6,5,63.0,1.0,2.0,0.0,0.6666666666666666,1.5,
1317,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
315,1,1,0,2,1,3,1,4,3,20.0,0.3333333333333333,1.0,0.0,0.0,1.5,
985,10,5,1,9,11,14,5,25,24,351.0,0.7857142857142857,3.0,2.142857142857143,1.400793650793651,4.96875,
359,1,1,0,0,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
456,1,0,0,1,1,1,1,2,1,0.0,1.0,0.0,0.0,0.0,0.0,
